ServiceDate,Service_Date_Frequency
2020-01-31,250
2020-01-30,340
2020-01-29,344
2020-01-28,340
2020-01-27,344
2020-01-26,86
2020-01-25,102
2020-01-24,250
2020-01-23,346
2020-01-22,344
2020-01-21,346
2020-01-20,124
2020-01-19,88
2020-01-18,100
2020-01-17,242
2020-01-16,344
2020-01-15,352
2020-01-14,346
2020-01-13,346
2020-01-12,95
2020-01-11,105
2020-01-10,248
2020-01-09,340
2020-01-08,344
2020-01-07,340
2020-01-06,350
2020-01-05,90
2020-01-04,96
2020-01-03,236
2020-01-02,302
2020-01-01,66
2019-12-31,278
2019-12-30,302
2019-12-29,86
2019-12-28,90
2019-12-27,204
2019-12-26,256
2019-12-25,56
2019-12-24,190
2019-12-23,282
2019-12-22,74
2019-12-21,84
2019-12-20,238
2019-12-19,328
2019-12-18,340
2019-12-17,330
2019-12-16,330
2019-12-15,70
2019-12-14,76
2019-12-13,230
2019-12-12,334
2019-12-11,338
2019-12-10,326
2019-12-09,334
2019-12-08,70
2019-12-07,82
2019-12-06,242
2019-12-05,314
2019-12-04,330
2019-12-03,332
2019-12-02,328
2019-12-01,56
