VehicleId,VehicleType,VehicleYear,Total_Miles_Scheduled,Total_Minutes_Scheduled
38,"2011 TOYOTA SIENNA VAN",2011,143,180
12,"2011CHEV EXPRESS VAN",2011,233,1680
55,"2011YR TOYOTA SIENNA VAN",2011,1223,1860
269,"2011 TOYOTA SIENNA VAN",2011,1420,1920
186,"2011 TOYOTA SIENNA VAN",2011,1538,2800
134,"TOYOTA SIENNA VAN 2011YR",2011,2458,3990
196,"2011CHEV EXPRESS VAN",2011,2890,86
166,"2012 FORD ECONOLINE E350",2012,107,180
194,"2012 TOYOTA SIENNA",2012,169,480
7,"2012 FORD ECONOLINE E350",2012,514,1150
18,"2012 FORD ECONOLINE E350",2012,606,1680
19,"2012 FORD ECONOLINE WAGON",2012,614,1680
211,"2012 FORD ECONOLINE E350",2012,645,2040
140,"2012 FORD ECONOLINE WAGON",2012,706,20
170,"2012 FORD ECONOLINE E350",2012,889,2820
37,"2012 TOYOTA SIENNA VAN",2012,1593,2480
58,"2012 TOYOTA SIENNA VAN",2012,1621,2310
216,"2012 FORD ECONOLINE E350",2012,2595,5250
68,"2012 FORD ECONOLINE E350",2012,2737,4730
144,"2012 TOYOTA SIENNA VAN",2012,2776,4050
126,"2012 TOYOTA SIENNA",2012,3093,2520
154,"2013 TOYOTA SIENNA VAN",2013,75,240
24,"2013 CHEV EXP VAN",2013,271,1250
76,"2013 TOYOTA SIENNA VAN",2013,465,2760
178,"2013 CHEV EXP VAN",2013,715,1480
189,"2013 CHEV EXP VAN",2013,801,1725
185,"2013 CHEV EXP VAN",2013,984,2400
267,"2013 CHEV EXP VAN",2013,1079,62100
155,"2013 TOYOTA SIENNA VAN",2013,1110,3180
266,"2013 CHEV EXP VAN",2013,1117,2100
102,"2013 CHEV EXP VAN",2013,1235,2295
141,"2013 CHEV EXP VAN",2013,1527,2470
259,"2013 CHEV EXP VAN",2013,1649,2790
147,"2013 TOYOTA SIENNA VAN",2013,1654,2025
163,"2013 CHEV EXP VAN",2013,2167,5400
87,"2013 CHEV EXP VAN",2013,2350,6630
111,"2013 CHEV EXP VAN",2013,2387,3600
80,"2013 CHEV EXP VAN",2013,2765,4290
48,"2013 TOYOTA SIENNA VAN",2013,2850,3885
203,"2013 CHEV EXP VAN",2013,3639,6480
204,"2013 CHEV EXP VAN",2013,3639,6480
40,"2013 CHEV EXP VAN",2013,3779,4960
177,"2014 TOYOTA SIENNA FWD",2014,526,900
91,"2014 TOYOTA SIENNA FWD",2014,829,1302
237,"2014 TOYOTA SIENNA FWD",2014,1205,1920
182,"2014 TOYOTA SIENNA FWD",2014,1393,4960
253,"2014 TOYOTA SIENNA FWD",2014,1444,2775
