VehicleID,VehicleType,total_miles
66,"2015 CHEVROLET EXPRESS VAN",5042.73
168,"2019 CHEVROLET EXPRESS 3500",5340.21
112,"FORD ECON E350 VAN",6665.4
229,"FORD ECON E350 VAN",1650.72
257,"FORD ECON E350 VAN",4611.6
100,"TOYOTA SEINNA VAN",5161.2
86,"2020 TOYOTA SIENNA",4796.31
247,"TOYOTA SEINNA VAN",2193.17
234,"2015 TOYOTA SIENNA VAN",5267.43
192,"2017 CHEVROLET EXPRESS VAN",4738.4
40,"2013 CHEV EXP VAN",3778.56
109,"2015 CHEVROLET EXPRESS VAN",4668.8
83,"CHEV 15 PASSENGER VAN",4862.34
73,"2017 CHEVROLET EXPRESS VAN",4417.12
136,"2019 CHEVROLET EXPRESS VAN",4556.86
133,"2019 TOYOTA SIENNA 7 PASS",3720.75
50,"2017 TOYOTA SIENNA",3614.82
226,"2019 Chevy Express 3500",4820.2
42,"2017 TOYOTA SIENNA",2959.2
54,"2015 TOYOTA SIENNA VAN",3559.38
62,"2015 CHEVROLET EXPRESS VAN",5356
216,"2012 FORD ECONOLINE E350",2595
63,"2015 TOYOTA SIENNA VAN",2478.72
225,"2015 CHEVROLET EXPRESS VAN",2805.6
72,"2019 TOYOTA SIENNA 7 PASS",2702.7
193,"2019 Chevy Express 3500",3598.56
167,"TOYOTA SEINNA VAN",3539.52
69,"2017 CHEVROLET EXPRESS VAN",3114.24
131,"2019 CHEVROLET EXPRESS VAN",5665.18
132,"2017 CHEVROLET EXPRESS VAN",17952.62
120,"2019 CHEVROLET EXPRESS VAN",5661.64
121,"2017 CHEVROLET EXPRESS VAN",5853.56
122,"2015 CHEVROLET EXPRESS VAN",4318.2
125,"2016 CHEVROLET EXPRESS VAN",5661.64
36,"2017 CHEVROLET EXPRESS VAN",2870.4
260,"TOYOTA SEINNA VAN",3056.63
149,"2016 TOYOTA SIENNA VAN",3022.14
245,"2019 TOYOTA SIENNA 7 PASS",3001.02
152,"2014 TOYOTA SIENNA FWD",3706.4
254,"2019 CHEVROLET EXPRESS VAN",3536.4
79,"FORD ECON E350 VAN",3803.1
269,"2011 TOYOTA SIENNA VAN",1420.48
51,"2015 TOYOTA SIENNA VAN",3015.13
59,"2014 TOYOTA SIENNA FWD",2123.76
65,"2015 TOYOTA SIENNA VAN",2801.26
240,"2019 Chevy Express 3500",3318.95
111,"2013 CHEV EXP VAN",2387.1
139,"2015 TOYOTA SIENNA VAN",3340.26
191,"2019 CHEVROLET EXPRESS VAN",3139.6
150,"2017 TOYOTA SIENNA",3316.74
130,"2019 TOYOTA SIENNA 7 PASS",3063.06
198,"2014 TOYOTA SIENNA FWD",3306.24
48,"2013 TOYOTA SIENNA VAN",2850.48
88,"2019 Chevy Express 3500",3308.42
92,"2019 CHEVROLET EXPRESS VAN",3088.8
104,"2015 CHEVROLET EXPRESS VAN",3060.65
252,"2015 TOYOTA SIENNA VAN",1894.5
228,"2019 CHEVROLET EXPRESS 3500",3523.59
126,"2012 TOYOTA SIENNA",3093.3
157,"2014 TOYOTA SIENNA FWD",3093.3
188,"2015 CHEVROLET EXPRESS VAN",3008.04
138,"2015 CHEVROLET EXPRESS VAN",2965.62
140,"CHEV EXPRESS VAN",3036.23
165,"CHEVROLET EXPRESS VAN",2965.62
196,"2011CHEV EXPRESS VAN",2890.46
99,"2019 CHEVROLET EXPRESS VAN",2886.8
45,"2014 TOYOTA SIENNA FWD",2363.13
105,"2015 TOYOTA SIENNA VAN",2997.54
89,"2016 TOYOTA SIENNA VAN",2854.8
41,"2014 TOYOTA SIENNA FWD",2197.59
80,"2013 CHEV EXP VAN",2764.71
203,"2013 CHEV EXP VAN",3638.52
204,"2013 CHEV EXP VAN",3638.52
207,"2015 CHEVROLET EXPRESS VAN",3975.42
153,"2019 TOYOTA SIENNA 7 PASS",2331.38
217,"2016 TOYOTA SIENNA VAN",2742
213,"2015 TOYOTA SIENNA VAN",2591.6
255,"2017 CHEVROLET EXPRESS VAN",2286.84
