ServiceDate,VehicleId,VehicleType,VanCapacity,Boarding,empty_seats,TripDirection
12/19/19,127,"FORD F35O PASSENGER VANS",12,27,-15,OUT
12/17/19,127,"FORD F35O PASSENGER VANS",12,27,-15,OUT
12/16/19,127,"FORD F35O PASSENGER VANS",12,27,-15,OUT
12/13/19,127,"FORD F35O PASSENGER VANS",12,27,-15,OUT
12/12/19,127,"FORD F35O PASSENGER VANS",12,27,-15,OUT
12/11/19,127,"FORD F35O PASSENGER VANS",12,27,-15,OUT
12/10/19,127,"FORD F35O PASSENGER VANS",12,27,-15,OUT
12/9/19,127,"FORD F35O PASSENGER VANS",12,27,-15,OUT
12/4/19,127,"FORD F35O PASSENGER VANS",12,27,-15,OUT
12/2/19,127,"FORD F35O PASSENGER VANS",12,27,-15,OUT
12/18/19,127,"FORD F35O PASSENGER VANS",12,24,-12,OUT
12/3/19,127,"FORD F35O PASSENGER VANS",12,24,-12,OUT
1/31/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/30/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/29/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/28/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/27/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/24/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/23/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/22/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/21/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/17/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/16/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/15/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/14/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/13/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/10/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/9/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/8/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/7/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/6/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/3/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
1/2/20,96,"2015 CHEVROLET EXPRESS VAN",11,21,-10,OUT
12/31/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/30/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/27/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/26/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/24/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/23/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/20/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/19/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/18/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/17/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/16/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/13/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/12/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/11/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/10/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/9/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/6/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/5/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/4/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/3/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/2/19,96,"2015 CHEVROLET EXPRESS VAN",11,20,-9,OUT
12/17/19,145,"FORD E35O PASSENGER VANS",12,21,-9,OUT
12/16/19,145,"FORD E35O PASSENGER VANS",12,21,-9,OUT
12/15/19,145,"FORD E35O PASSENGER VANS",12,21,-9,OUT
12/14/19,145,"FORD E35O PASSENGER VANS",12,21,-9,OUT
12/13/19,145,"FORD E35O PASSENGER VANS",12,21,-9,OUT
12/12/19,145,"FORD E35O PASSENGER VANS",12,21,-9,OUT
12/11/19,145,"FORD E35O PASSENGER VANS",12,21,-9,OUT
12/10/19,145,"FORD E35O PASSENGER VANS",12,21,-9,OUT
12/9/19,145,"FORD E35O PASSENGER VANS",12,21,-9,OUT
12/8/19,145,"FORD E35O PASSENGER VANS",12,21,-9,OUT
12/7/19,145,"FORD E35O PASSENGER VANS",12,21,-9,OUT
12/6/19,145,"FORD E35O PASSENGER VANS",12,21,-9,OUT
12/18/19,145,"FORD E35O PASSENGER VANS",12,21,-9,OUT
